ticket_date,net_weight_kg,day_of_week,is_weekend,lag_1,lag_7,rolling_mean_7,rolling_std_7
2012-03-12,26270.0,0,0,28174.285714285714,27968.571428571428,25987.959183673465,1442.7741270655492
2012-03-13,27535.714285714286,1,0,26270.0,26287.14285714286,26166.326530612245,1558.466858947355
2012-03-14,28014.285714285714,2,0,27535.714285714286,25498.571428571428,26525.714285714286,1665.2253631878136
2012-03-15,29320.0,3,0,28014.285714285714,23784.285714285714,27316.530612244893,1446.4163684711996
2012-03-16,28565.714285714286,4,0,29320.0,24845.714285714286,27847.95918367347,1002.607775651936
2012-03-17,26091.428571428572,5,1,28565.714285714286,27055.714285714286,27710.204081632655,1180.1304057341508
2012-03-18,22057.14285714286,6,1,26091.428571428572,28174.285714285714,26836.326530612245,2406.6692846494934
2012-03-19,22650.0,0,0,22057.14285714286,26270.0,26319.18367346939,2889.2008472017383
2012-03-20,21574.285714285714,1,0,22650.0,27535.714285714286,25467.551020408166,3317.6812157249074
2012-03-21,21645.714285714286,2,0,21574.285714285714,28014.285714285714,24557.755102040817,3375.6117971204962
2012-03-22,21597.14285714286,3,0,21645.714285714286,29320.0,23454.48979591837,2766.9001329948624
2012-03-23,21812.85714285714,4,0,21597.14285714286,28565.714285714286,22489.79591836735,1632.4991126398058
2012-03-24,22572.85714285714,5,1,21812.85714285714,26091.428571428572,21987.14285714286,457.6827169424795
2012-03-25,22907.14285714286,6,1,22572.85714285714,22057.14285714286,22108.571428571428,576.6464154362391
2012-03-26,22622.85714285714,0,0,22907.14285714286,22650.0,22104.693877551017,572.4750621582499
2012-03-27,23678.571428571428,1,0,22622.85714285714,21574.285714285714,22405.306122448976,766.9799925930093
2012-03-28,23698.571428571428,2,0,23678.571428571428,21645.714285714286,22698.571428571428,818.848120775772
2012-03-29,24074.285714285714,3,0,23698.571428571428,21597.14285714286,23052.448979591838,798.5312683852501
2012-03-30,23580.0,4,0,24074.285714285714,21812.85714285714,23304.897959183672,594.6318000647314
2012-03-31,23778.571428571428,5,1,23580.0,22572.85714285714,23477.14285714286,516.7730853756966
2012-04-01,27534.285714285714,6,1,23778.571428571428,22907.14285714286,24138.16326530612,1564.1397440669557
2012-04-02,25848.571428571428,0,0,27534.285714285714,22622.85714285714,24598.979591836734,1517.7878895765773
2012-04-03,23181.428571428572,1,0,25848.571428571428,23678.571428571428,24527.95918367347,1578.4524534227091
2012-04-04,22604.285714285714,2,0,23181.428571428572,23698.571428571428,24371.63265306122,1721.9486328767848
2012-04-05,23590.0,3,0,22604.285714285714,24074.285714285714,24302.448979591834,1745.4546830366162
2012-04-06,21505.714285714286,4,0,23590.0,23580.0,24006.12244897959,2039.8038645018094
2012-04-07,24425.714285714286,5,1,21505.714285714286,23778.571428571428,24098.571428571428,2042.435187857526
2012-04-08,22825.714285714286,6,1,24425.714285714286,27534.285714285714,23425.91836734694,1395.1132957117636
2012-04-09,22632.85714285714,0,0,22825.714285714286,25848.571428571428,22966.5306122449,909.256576476598
2012-04-10,24620.0,1,0,22632.85714285714,23181.428571428572,23172.04081632653,1106.9947234672327
2012-04-11,23510.0,2,0,24620.0,22604.285714285714,23301.428571428572,1082.228112310366
2012-04-12,23281.428571428572,3,0,23510.0,23590.0,23257.34693877551,1074.773644440222
2012-04-13,23387.14285714286,4,0,23281.428571428572,21505.714285714286,23526.122448979593,749.8642572332724
2012-04-14,18936.428571428572,5,1,23387.14285714286,24425.714285714286,22741.938775510203,1794.6770650275053
2012-04-15,17042.14285714286,6,1,18936.428571428572,22825.714285714286,21915.714285714286,2799.6226361354566
2012-04-16,17895.0,0,0,17042.14285714286,22632.85714285714,21238.87755102041,3148.3438810574416
2012-04-17,18713.571428571428,1,0,17895.0,24620.0,20395.102040816328,2870.362850932929
2012-04-18,20837.85714285714,2,0,18713.571428571428,23510.0,20013.36734693878,2546.4776497737394
2012-04-19,20637.85714285714,3,0,20837.85714285714,23281.428571428572,19635.714285714286,2145.487552220945
2012-04-20,23752.14285714286,4,0,20637.85714285714,23387.14285714286,19687.85714285714,2253.5689004589967
2012-04-21,25654.285714285714,5,1,23752.14285714286,18936.428571428572,20647.551020408162,3137.354920003819
2012-04-22,25277.14285714286,6,1,25654.285714285714,17042.14285714286,21823.979591836734,3103.874960693988
2012-04-23,26367.14285714286,0,0,25277.14285714286,17895.0,23034.285714285714,2965.181390787449
2012-04-24,23981.428571428572,1,0,26367.14285714286,18713.571428571428,23786.83673469388,2273.689383156534
2012-04-25,24274.285714285714,2,0,23981.428571428572,20837.85714285714,24277.755102040817,1865.1228930608343
2012-04-26,24381.428571428572,3,0,24274.285714285714,20637.85714285714,24812.551020408166,968.8433612807136
2012-04-27,25861.428571428572,4,0,24381.428571428572,23752.14285714286,25113.877551020407,910.3149317814266
2012-04-28,26602.85714285714,5,1,25861.428571428572,25654.285714285714,25249.38775510204,1062.1140698512625
2012-04-29,26240.0,6,1,26602.85714285714,25277.14285714286,25386.938775510207,1126.6926581667556
2012-04-30,26684.285714285714,0,0,26240.0,26367.14285714286,25432.244897959183,1177.8906712553685
2012-05-01,28722.85714285714,1,0,26684.285714285714,23981.428571428572,26109.591836734693,1518.5644210485452
2012-05-02,25402.85714285714,2,0,28722.85714285714,24274.285714285714,26270.816326530614,1340.7335937779717
2012-05-03,24325.714285714286,3,0,25402.85714285714,24381.428571428572,26262.85714285714,1353.919731540848
2012-05-04,21854.285714285714,4,0,24325.714285714286,25861.428571428572,25690.408163265307,2159.43913011153
2012-05-05,19444.285714285714,5,1,21854.285714285714,26602.85714285714,24667.755102040817,3131.5547699134836
2012-05-06,23892.85714285714,6,1,19444.285714285714,26240.0,24332.448979591834,3059.9921873411545
2012-05-07,24185.714285714286,0,0,23892.85714285714,26684.285714285714,23975.51020408163,2880.3897634702803
2012-05-08,21492.85714285714,1,0,24185.714285714286,28722.85714285714,22942.65306122449,2079.2056680166593
2012-05-09,24061.428571428572,2,0,21492.85714285714,25402.85714285714,22751.020408163262,1865.5012848379008
2012-05-10,24140.0,3,0,24061.428571428572,24325.714285714286,22724.48979591837,1840.5273993808953
2012-05-11,24988.571428571428,4,0,24140.0,21854.285714285714,23172.24489795918,1970.2226914333146
2012-05-12,27294.285714285714,5,1,24988.571428571428,19444.285714285714,24293.67346938775,1711.7725342289814
2012-05-13,23718.571428571428,6,1,27294.285714285714,23892.85714285714,24268.775510204083,1719.822690704931
2012-05-14,22665.714285714286,0,0,23718.571428571428,24185.714285714286,24051.632653061224,1824.810013141697
2012-05-15,25522.85714285714,1,0,22665.714285714286,21492.85714285714,24627.34693877551,1487.5388129781986
2012-05-16,25090.0,2,0,25522.85714285714,24061.428571428572,24774.285714285714,1473.0511165050239
2012-05-17,25601.428571428572,3,0,25090.0,24140.0,24983.061224489797,1471.734463944318
2012-05-18,25200.0,4,0,25601.428571428572,24988.571428571428,25013.265306122452,1474.0341503455036
2012-05-19,23830.0,5,1,25200.0,27294.285714285714,24518.367346938776,1119.4682376390065
2012-05-20,25589.285714285714,6,1,23830.0,23718.571428571428,24785.61224489796,1120.0080803713631
2012-05-21,26367.85714285714,0,0,25589.285714285714,22665.714285714286,25314.489795918365,772.2326843355005
2012-05-22,26735.0,1,0,26367.85714285714,25522.85714285714,25487.65306122449,943.6271850334938
2012-05-23,27452.14285714286,2,0,26735.0,25090.0,25825.102040816328,1172.3610856144455
2012-05-24,27593.571428571428,3,0,27452.14285714286,25601.428571428572,26109.693877551017,1338.9728432736017
2012-05-25,27105.0,4,0,27593.571428571428,25200.0,26381.836734693876,1316.6718671090473
2012-05-26,28629.285714285714,5,1,27105.0,23830.0,27067.448979591834,970.4342650479988
2012-05-27,26300.0,6,1,28629.285714285714,25589.285714285714,27168.979591836734,814.6888994673361
2012-05-28,26315.714285714286,0,0,26300.0,26367.85714285714,27161.5306122449,823.4261868139988
2012-05-29,25805.714285714286,1,0,26315.714285714286,26735.0,27028.775510204083,966.1889255442551
2012-05-30,25724.285714285714,2,0,25805.714285714286,27452.14285714286,26781.938775510203,1056.494308322502
2012-05-31,26495.714285714286,3,0,25724.285714285714,27593.571428571428,26625.102040816328,995.6634226069872
2012-06-01,26784.285714285714,4,0,26495.714285714286,27105.0,26579.285714285714,977.106045672458
2012-06-02,25925.714285714286,5,1,26784.285714285714,28629.285714285714,26193.061224489797,389.20591455684416
2012-06-03,28852.85714285714,6,1,25925.714285714286,26300.0,26557.755102040817,1083.2785513546103
2012-06-04,28090.0,0,0,28852.85714285714,26315.714285714286,26811.224489795917,1216.5811437385307
2012-06-05,25054.285714285714,1,0,28090.0,25805.714285714286,26703.877551020407,1346.3244785543984
2012-06-06,25372.85714285714,2,0,25054.285714285714,25724.285714285714,26653.673469387755,1394.6271676802166
2012-06-07,24891.428571428572,3,0,25372.85714285714,26495.714285714286,26424.48979591837,1548.2672844383408
2012-06-08,24380.0,4,0,24891.428571428572,26784.285714285714,26081.020408163266,1713.061410887878
2012-06-09,24948.571428571428,5,1,24380.0,25925.714285714286,25941.428571428572,1766.7954002641213
2012-06-10,23634.285714285714,6,1,24948.571428571428,28852.85714285714,25195.91836734694,1395.5518325721425
2012-06-11,24527.14285714286,0,0,23634.285714285714,28090.0,24686.938775510207,569.1397187302131
2012-06-12,26830.0,1,0,24527.14285714286,25054.285714285714,24940.612244897962,995.8945854191583
2012-06-13,26912.85714285714,2,0,26830.0,25372.85714285714,25160.61224489796,1245.9902646300652
2012-06-14,25815.714285714286,3,0,26912.85714285714,24891.428571428572,25292.65306122449,1261.5866881896097
2012-06-15,26310.0,4,0,25815.714285714286,24380.0,25568.367346938776,1239.5924359205178
2012-06-16,25855.714285714286,5,1,26310.0,24948.571428571428,25697.95918367347,1211.0876252986452
2012-06-17,24984.285714285714,6,1,25855.714285714286,23634.285714285714,25890.816326530614,893.5531980716958
2012-06-18,24712.85714285714,0,0,24984.285714285714,24527.14285714286,25917.346938775507,847.9071588614464
2012-06-19,25654.285714285714,1,0,24712.85714285714,26830.0,25749.387755102038,747.4927966539012
2012-06-20,25411.428571428572,2,0,25654.285714285714,26912.85714285714,25534.897959183672,546.3495785683954
2012-06-21,25788.571428571428,3,0,25411.428571428572,25815.714285714286,25531.020408163262,544.1161554948295
2012-06-22,27081.428571428572,4,0,25788.571428571428,26310.0,25641.224489795917,762.4867250194048
2012-06-23,26210.0,5,1,27081.428571428572,25855.714285714286,25691.836734693876,790.3463953761479
2012-06-24,26325.714285714286,6,1,26210.0,24984.285714285714,25883.4693877551,751.8859992574637
2012-06-25,26184.285714285714,0,0,26325.714285714286,24712.85714285714,26093.673469387755,548.1563764312513
2012-06-26,26970.0,1,0,26184.285714285714,25654.285714285714,26281.632653061224,595.8800891628383
2012-06-27,26247.14285714286,2,0,26970.0,25411.428571428572,26401.020408163266,460.90469618972554
2012-06-28,26637.14285714286,3,0,26247.14285714286,25788.571428571428,26522.244897959183,376.91538697774206
2012-06-29,25908.571428571428,4,0,26637.14285714286,27081.428571428572,26354.693877551024,346.3588189822124
2012-06-30,27548.571428571428,5,1,25908.571428571428,26210.0,26545.91836734694,558.0063080686177
2012-07-01,29068.571428571428,6,1,27548.571428571428,26325.714285714286,26937.755102040817,1088.4823289190883
2012-07-02,28011.428571428572,0,0,29068.571428571428,26184.285714285714,27198.775510204083,1096.7299658875083
2012-07-03,24734.285714285714,1,0,28011.428571428572,26970.0,26879.38775510204,1444.7728576842449
2012-07-04,25058.571428571428,2,0,24734.285714285714,26247.14285714286,26709.591836734693,1593.6350255789544
2012-07-05,23425.714285714286,3,0,25058.571428571428,26637.14285714286,26250.816326530614,2022.5113803809684
2012-07-06,24072.85714285714,4,0,23425.714285714286,25908.571428571428,25988.571428571428,2186.636749007192
2012-07-07,23324.285714285714,5,1,24072.85714285714,27548.571428571428,25385.102040816328,2265.8285050689146
2012-07-08,23070.0,6,1,23324.285714285714,29068.571428571428,24528.163265306124,1705.6384513503929
2012-07-09,24567.14285714286,0,0,23070.0,28011.428571428572,24036.12244897959,777.6961940645023
2012-07-10,24027.14285714286,1,0,24567.14285714286,24734.285714285714,23935.102040816328,715.3182333249597
2012-07-11,23930.0,2,0,24027.14285714286,25058.571428571428,23773.87755102041,520.5718430071075
2012-07-12,25288.571428571428,3,0,23930.0,23425.714285714286,24040.0,741.9907951828487
2012-07-13,24625.714285714286,4,0,25288.571428571428,24072.85714285714,24118.979591836734,774.7708523581463
2012-07-14,24471.428571428572,5,1,24625.714285714286,23324.285714285714,24282.85714285714,695.9777539646025
2012-07-15,22520.0,6,1,24471.428571428572,23070.0,24204.285714285714,866.0002670813946
2012-07-16,21692.85714285714,0,0,22520.0,24567.14285714286,23793.673469387755,1257.983176169615
2012-07-17,23391.428571428572,1,0,21692.85714285714,24027.14285714286,23702.85714285714,1261.2619207179393
2012-07-18,24297.14285714286,2,0,23391.428571428572,23930.0,23755.306122448976,1279.7796138626175
2012-07-19,24682.85714285714,3,0,24297.14285714286,25288.571428571428,23668.775510204083,1175.021328094605
2012-07-20,24211.428571428572,4,0,24682.85714285714,24625.714285714286,23609.591836734697,1128.2931285210786
2012-07-21,24781.428571428572,5,1,24211.428571428572,24471.428571428572,23653.877551020407,1172.9579778838997
2012-07-22,24774.285714285714,6,1,24781.428571428572,22520.0,23975.91836734694,1117.9331112392576
2012-07-23,25128.571428571428,0,0,24774.285714285714,21692.85714285714,24466.73469387755,566.9483379298742
2012-07-24,26294.285714285714,1,0,25128.571428571428,23391.428571428572,24881.428571428572,696.2333059589441
2012-07-25,26038.571428571428,2,0,26294.285714285714,24297.14285714286,25130.204081632655,760.7901498372511
2012-07-26,25734.285714285714,3,0,26038.571428571428,24682.85714285714,25280.408163265303,761.541899136164
2012-07-27,25361.428571428572,4,0,25734.285714285714,24211.428571428572,25444.693877551017,599.2488008869103
2012-07-28,24108.571428571428,5,1,25361.428571428572,24781.428571428572,25348.571428571428,756.6615721006656
2012-07-29,26091.428571428572,6,1,24108.571428571428,24774.285714285714,25536.734693877548,753.814207917491
2012-07-30,26064.285714285714,0,0,26091.428571428572,25128.571428571428,25670.408163265303,752.3350110833642
2012-07-31,26137.14285714286,1,0,26064.285714285714,26294.285714285714,25647.95918367347,732.7048282925838
2012-08-01,23147.14285714286,2,0,26137.14285714286,26038.571428571428,25234.897959183672,1163.923360833126
2012-08-02,23412.85714285714,3,0,23147.14285714286,25734.285714285714,24903.265306122452,1318.3884499479902
2012-08-03,24515.714285714286,4,0,23412.85714285714,25361.428571428572,24782.448979591838,1308.1153588392347
2012-08-04,24452.85714285714,5,1,24515.714285714286,24108.571428571428,24831.632653061224,1284.8204375909152
2012-08-05,25471.428571428572,6,1,24452.85714285714,26091.428571428572,24743.061224489797,1202.2146311854422
2012-08-06,26642.85714285714,0,0,25471.428571428572,26064.285714285714,24825.714285714286,1322.0999581422454
2012-08-07,23740.0,1,0,26642.85714285714,26137.14285714286,24483.26530612245,1233.2694543907057
2012-08-08,26371.428571428572,2,0,23740.0,23147.14285714286,24943.87755102041,1253.0305343136101
2012-08-09,26108.571428571428,3,0,26371.428571428572,23412.85714285714,25328.979591836734,1110.1708866085708
2012-08-10,25477.14285714286,4,0,26108.571428571428,24515.714285714286,25466.326530612245,1050.6647902436378
2012-08-11,26525.714285714286,5,1,25477.14285714286,24452.85714285714,25762.448979591838,1008.6907100264468
2012-08-12,25700.0,6,1,26525.714285714286,25471.428571428572,25795.102040816328,1001.3728186174533
2012-08-13,23857.14285714286,0,0,25700.0,26642.85714285714,25397.14285714286,1150.7158375443921
2012-08-14,26284.285714285714,1,0,23857.14285714286,23740.0,25760.61224489796,918.4236188353232
2012-08-15,26655.714285714286,2,0,26284.285714285714,26371.428571428572,25801.224489795917,955.4734654849622
2012-08-16,26831.428571428572,3,0,26655.714285714286,26108.571428571428,25904.48979591837,1030.3550766906371
2012-08-17,27300.0,4,0,26831.428571428572,25477.14285714286,26164.897959183672,1129.891288835766
2012-08-18,26764.285714285714,5,1,27300.0,26525.714285714286,26198.979591836734,1146.0709913444002
2012-08-19,25761.428571428572,6,1,26764.285714285714,25700.0,26207.755102040817,1141.8408746801585
2012-08-20,26262.85714285714,0,0,25761.428571428572,23857.14285714286,26551.428571428572,495.59419431844066
2012-08-21,25647.14285714286,1,0,26262.85714285714,26284.285714285714,26460.408163265307,600.285484398353
2012-08-22,25131.428571428572,2,0,25647.14285714286,26655.714285714286,26242.653061224493,770.0841143964984
2012-08-23,24607.14285714286,3,0,25131.428571428572,26831.428571428572,25924.897959183672,929.124691273398
2012-08-24,22497.14285714286,4,0,24607.14285714286,27300.0,25238.775510204083,1398.9810258158554
2012-08-25,23741.428571428572,5,1,22497.14285714286,26764.285714285714,24806.938775510207,1313.5431205866096
2012-08-26,25565.0,6,1,23741.428571428572,25761.428571428572,24778.87755102041,1291.6699269528358
2012-08-27,26067.85714285714,0,0,25565.0,26262.85714285714,24751.020408163266,1255.9397555544217
2012-08-28,27945.0,1,0,26067.85714285714,25647.14285714286,25079.285714285714,1737.2618027886722
2012-08-29,28023.571428571428,2,0,27945.0,25131.428571428572,25492.448979591834,2064.7697099910138
2012-08-30,28560.714285714286,3,0,28023.571428571428,24607.14285714286,26057.244897959183,2308.577043124774
2012-08-31,29802.14285714286,4,0,28560.714285714286,22497.14285714286,27100.816326530614,2069.7750554998106
2012-09-01,29417.85714285714,5,1,29802.14285714286,23741.428571428572,27911.734693877548,1590.8008752462094
2012-09-02,28320.0,6,1,29417.85714285714,25565.0,28305.306122448976,1208.2433598082946
2012-09-03,28028.571428571428,0,0,28320.0,26067.85714285714,28585.408163265303,739.4047358920609
2012-09-04,26472.85714285714,1,0,28028.571428571428,27945.0,28375.102040816328,1081.932277843036
2012-09-05,26917.14285714286,2,0,26472.85714285714,28023.571428571428,28217.04081632653,1214.5405494900644
2012-09-06,26872.85714285714,3,0,26917.14285714286,28560.714285714286,27975.91836734694,1299.512121578775
2012-09-07,27147.14285714286,4,0,26872.85714285714,29802.14285714286,27596.63265306122,1039.0027199624421
2012-09-08,27467.14285714286,5,1,27147.14285714286,29417.85714285714,27317.95918367347,662.502397450563
2012-09-09,26515.714285714286,6,1,27467.14285714286,28320.0,27060.204081632655,548.9237636938888
2012-09-10,27348.571428571428,0,0,26515.714285714286,28028.571428571428,26963.061224489797,384.5488818935155
2012-09-11,28385.714285714286,1,0,27348.571428571428,26472.85714285714,27236.326530612245,598.3576485742777
2012-09-12,24824.285714285714,2,0,28385.714285714286,26917.14285714286,26937.34693877551,1098.3724597114717
2012-09-13,24225.714285714286,3,0,24824.285714285714,26872.85714285714,26559.183673469386,1504.7853050793844
2012-09-14,25298.571428571428,4,0,24225.714285714286,27147.14285714286,26295.102040816328,1546.0458356554263
2012-09-15,24744.285714285714,5,1,25298.571428571428,27467.14285714286,25906.12244897959,1544.5475119014175
2012-09-16,26226.428571428572,6,1,24744.285714285714,26515.714285714286,25864.795918367345,1529.3136112246984
2012-09-17,25169.285714285714,0,0,26226.428571428572,27348.571428571428,25553.4693877551,1392.6279682385666
2012-09-18,25875.0,1,0,25169.285714285714,28385.714285714286,25194.795918367345,685.2882746963598
2012-09-19,28726.428571428572,2,0,25875.0,24824.285714285714,25752.244897959183,1470.692917614101
2012-09-20,27972.14285714286,3,0,28726.428571428572,24225.714285714286,26287.448979591838,1503.8934649554874
2012-09-21,27117.85714285714,4,0,27972.14285714286,25298.571428571428,26547.34693877551,1461.109372246854
2012-09-22,26673.571428571428,5,1,27117.85714285714,24744.285714285714,26822.95918367347,1227.6136513447063
2012-09-23,25075.714285714286,6,1,26673.571428571428,26226.428571428572,26658.571428571428,1387.4475537063263
2012-09-24,25092.85714285714,0,0,25075.714285714286,25169.285714285714,26647.65306122449,1401.3516746466396
2012-09-25,24281.428571428572,1,0,25092.85714285714,25875.0,26420.0,1654.3862540383302
2012-09-26,24225.714285714286,2,0,24281.428571428572,28726.428571428572,25777.04081632653,1473.28797383222
2012-09-27,25377.14285714286,3,0,24225.714285714286,27972.14285714286,25406.326530612245,1110.7734962453424
2012-09-28,26422.85714285714,4,0,25377.14285714286,27117.85714285714,25307.04081632653,952.0066909181577
2012-09-29,25871.428571428572,5,1,26422.85714285714,26673.571428571428,25192.448979591838,795.5196454625064
2012-09-30,25164.285714285714,6,1,25871.428571428572,25075.714285714286,25205.102040816328,794.0565176096633
2012-10-01,25092.85714285714,0,0,25164.285714285714,25092.85714285714,25205.102040816328,794.0565176096633
2012-10-02,24017.14285714286,1,0,25092.85714285714,24281.428571428572,25167.34693877551,849.6323448863877
2012-10-03,23647.14285714286,2,0,24017.14285714286,24225.714285714286,25084.693877551024,975.3442491120643
2012-10-04,23730.0,3,0,23647.14285714286,25377.14285714286,24849.38775510204,1085.500247430647
2012-10-05,23674.285714285714,4,0,23730.0,26422.85714285714,24456.73469387755,903.298458404674
2012-10-06,22968.571428571428,5,1,23674.285714285714,25871.428571428572,24042.04081632653,806.7592249463012
2012-10-07,25872.85714285714,6,1,22968.571428571428,25164.285714285714,24143.26530612245,993.8052048708411
2012-10-08,25672.85714285714,0,0,25872.85714285714,25092.85714285714,24226.122448979593,1104.2163208300976
2012-10-09,27548.571428571428,1,0,25672.85714285714,24017.14285714286,24730.61224489796,1659.7784577071127
2012-10-10,28441.428571428572,2,0,27548.571428571428,23647.14285714286,25415.51020408163,2075.324977186207
2012-10-11,27484.285714285714,3,0,28441.428571428572,23730.0,25951.836734693876,2052.1211382812508
2012-10-12,26168.571428571428,4,0,27484.285714285714,23674.285714285714,26308.16326530612,1790.6312713270142
2012-10-13,26992.85714285714,5,1,26168.571428571428,22968.571428571428,26883.061224489797,1019.848070775015
2012-10-14,23788.571428571428,6,1,26992.85714285714,25872.85714285714,26585.306122448983,1537.0582633577148
2012-10-15,23758.571428571428,0,0,23788.571428571428,25672.85714285714,26311.836734693876,1862.330796639711
